date,entry_time,side,setup,grade,daily_bias,ovn_pos,exit_reason,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr
2026-03-17,10:30,LONG,PM_LONG,A+,LONG,0.935,stop,-128.24,0,1.683,41.25,0,71.06,-0.0307,1,406.5,1,1,1,42.3
2026-03-17,13:00,LONG,PM_LONG,A,LONG,0.935,vwap_cross,0.76,1,1.033,1.0,0,67.92,-0.1049,1,366.2,1,1,1,30.0
2026-03-18,10:30,SHORT,PM_SHORT,A+,SHORT,0.19,stop,-154.74,0,1.793,16.0,0,31.36,-0.2318,0,-181.2,0,0,1,51.2
2026-03-18,11:10,SHORT,VWAP_SHORT,A+,SHORT,0.19,stop,-0.74,0,0.561,13.12,0,34.16,-0.1777,0,-114.0,0,0,1,43.7
2026-03-19,11:20,SHORT,VWAP_SHORT,A+,SHORT,0.084,stop,83.76,1,0.526,53.17,0,34.49,-0.1946,0,-497.5,0,0,1,58.5
2026-03-19,13:05,SHORT,PM_SHORT,A+,SHORT,0.084,stop,-117.74,0,1.094,20.08,0,25.49,-0.1074,0,-570.8,0,0,1,38.8
2026-03-20,13:15,SHORT,PM_SHORT,A+,BOTH,0.494,stop,107.76,1,7.249,51.92,0,26.2,-0.0999,0,-394.5,0,0,1,33.8
2026-03-20,13:45,SHORT,PM_SHORT,A+,BOTH,0.494,stop,85.76,1,9.369,13.58,0,24.16,-0.0979,0,-460.0,0,0,1,33.2
2026-03-23,10:30,LONG,OPEN_LONG,A,BOTH,0.728,stop,-0.74,0,2.016,4.58,0,76.44,0.0006,1,198.2,1,1,1,69.8
2026-03-23,11:20,LONG,PM_LONG,A+,BOTH,0.728,stop,-147.24,0,3.221,11.42,0,74.93,-0.002,1,214.2,1,1,1,48.7
2026-03-24,10:35,SHORT,PM_SHORT,A+,SHORT,0.198,stop,-214.74,0,0.717,53.82,0,41.2,-0.2227,0,-315.5,0,0,1,71.2
2026-03-24,13:00,SHORT,VWAP_SHORT,A+,SHORT,0.198,stop,-0.74,0,0.824,37.57,0,46.18,-0.1889,0,-299.2,0,0,1,42.2
2026-03-25,10:30,LONG,PM_LONG,A+,BOTH,0.648,stop,-168.24,0,1.19,31.83,0,53.87,0.0516,1,238.0,1,1,1,55.7
2026-03-25,13:25,LONG,VWAP_LONG,A+,BOTH,0.648,stop,83.26,1,0.033,1.33,0,54.22,0.0206,1,173.0,1,1,1,37.8
2026-03-27,10:30,SHORT,PM_SHORT,A+,SHORT,0.175,stop,-0.74,0,2.571,52.08,0,24.82,-0.147,0,-576.2,0,0,1,61.2
2026-03-27,10:50,SHORT,PM_SHORT,A+,SHORT,0.175,stop,-0.74,0,2.84,58.58,0,24.05,-0.1728,0,-582.8,0,0,1,57.7
2026-03-30,10:55,LONG,VWAP_LONG,A+,LONG,0.854,stop,-0.74,0,2.45,58.5,0,65.93,0.2108,0,-233.0,1,0,0,53.7
2026-03-30,11:30,LONG,VWAP_LONG,A,LONG,0.854,stop,-0.74,0,2.175,49.5,0,63.77,0.146,0,-224.0,1,0,0,56.3
2026-03-31,10:30,LONG,PM_LONG,A+,LONG,0.884,stop,-181.24,0,2.975,43.01,0,74.71,-0.2204,1,173.0,1,1,1,60.0
2026-03-31,11:00,LONG,PM_LONG,A+,LONG,0.884,vwap_cross,27.76,1,1.468,5.04,0,57.79,-0.1022,1,76.0,1,1,1,55.5
2026-04-01,10:30,LONG,OPEN_LONG,A,BOTH,0.585,stop,152.26,1,1.137,66.0,0,58.48,-0.0903,1,395.5,1,1,1,60.7
2026-04-01,10:45,LONG,OPEN_LONG,A+,BOTH,0.585,stop,-0.74,0,2.34,11.25,0,62.52,-0.143,1,472.8,1,1,1,62.5
2026-04-06,10:30,LONG,PM_LONG,A+,BOTH,0.681,stop,-207.24,0,1.442,30.33,0,65.95,-0.339,1,222.5,1,1,1,68.7
2026-04-08,11:45,LONG,VWAP_LONG,A+,LONG,0.936,stop,-0.74,0,3.097,407.42,0,48.65,-0.2012,1,915.0,1,1,1,38.8
2026-04-09,10:50,LONG,VWAP_LONG,A+,LONG,0.9,stop,91.76,1,1.24,26.08,0,54.63,-0.1377,0,-46.5,1,0,0,36.5
2026-04-09,11:25,LONG,OPEN_LONG,A,LONG,0.9,target,185.26,1,0.734,3.58,0,56.61,-0.0538,0,-24.0,1,0,0,31.0
2026-04-10,10:30,LONG,OPEN_LONG,A+,BOTH,0.702,stop,-0.74,0,1.023,18.5,0,63.85,-0.0749,1,360.8,1,1,1,39.3
2026-04-14,10:30,LONG,PM_LONG,A+,BOTH,0.673,target,201.76,1,4.116,42.67,0,78.28,-0.2976,1,576.5,1,1,1,33.8
2026-04-14,11:55,LONG,PM_LONG,A+,BOTH,0.673,stop,83.26,1,9.418,37.83,0,84.05,-0.2084,1,657.0,1,1,1,23.3
2026-04-16,10:30,LONG,VWAP_LONG,A+,BOTH,0.696,stop,-0.74,0,1.215,5.08,0,40.23,-0.1766,1,356.8,0,1,0,53.5
2026-04-16,13:10,LONG,OPEN_LONG,A,BOTH,0.696,stop,92.26,1,0.106,14.08,0,49.98,-0.1575,1,425.2,1,1,1,33.2
2026-04-17,10:30,LONG,OPEN_LONG,A+,BOTH,0.679,stop,83.26,1,1.943,73.58,0,86.07,0.0686,1,311.5,1,1,1,51.3
2026-04-17,10:55,LONG,PM_LONG,A+,BOTH,0.679,stop,-0.74,0,3.426,38.58,0,87.13,0.0958,1,346.5,1,1,1,39.3
2026-04-20,11:00,SHORT,PM_SHORT,A+,BOTH,0.844,stop,-0.74,0,4.044,2.5,0,38.45,-0.1522,0,-69.5,0,0,1,47.2
2026-04-20,11:40,SHORT,PM_SHORT,A+,BOTH,0.844,stop,-149.74,0,2.823,6.33,0,44.17,-0.1026,0,-18.5,0,0,1,49.5
2026-04-21,10:30,LONG,OPEN_LONG,A+,BOTH,0.456,stop,-127.24,0,0.815,2.5,0,54.17,0.0361,1,176.0,1,1,1,42.0
2026-04-21,13:20,SHORT,PM_SHORT,A+,BOTH,0.456,stop,-115.74,0,4.795,11.92,0,27.22,-0.0475,0,-41.2,0,0,1,38.2
2026-04-22,10:30,LONG,PM_LONG,A+,LONG,0.936,stop,-0.74,0,2.04,50.04,0,75.24,-0.0322,1,254.8,1,1,1,41.7
2026-04-22,10:45,LONG,PM_LONG,A+,LONG,0.936,stop,-0.74,0,2.366,46.83,0,76.09,-0.1491,1,266.8,1,1,1,41.0
2026-04-23,10:30,LONG,VWAP_LONG,A+,BOTH,0.576,stop,110.76,1,0.496,17.62,0,47.59,0.0497,1,79.0,1,1,1,46.3
2026-04-23,11:10,LONG,PM_LONG,A+,BOTH,0.576,stop,-0.74,0,3.036,1.33,0,62.26,0.0778,1,160.8,1,1,1,34.5
2026-04-24,10:35,LONG,VWAP_LONG,A+,BOTH,0.658,stop,151.76,1,0.373,25.08,0,61.34,0.0326,1,437.8,1,1,1,59.0
2026-04-24,11:20,LONG,PM_LONG,A+,BOTH,0.658,stop,90.26,1,3.086,62.5,0,67.44,0.0283,1,532.0,1,1,1,37.7
2026-04-30,10:45,LONG,VWAP_LONG,A,BOTH,0.747,stop,163.76,1,2.766,28.83,0,34.19,0.0162,1,108.2,0,0,0,73.8
2026-04-30,11:05,LONG,MOM_LONG,A+,BOTH,0.747,stop,-0.74,0,1.269,18.67,0,41.89,0.0818,1,228.8,1,1,1,66.0
2026-05-01,10:30,LONG,PM_LONG,A+,BOTH,0.703,stop,-0.74,0,3.494,70.33,0,69.39,0.1969,1,396.0,1,1,1,51.7
2026-05-01,11:05,LONG,PM_LONG,A+,BOTH,0.703,stop,96.26,1,4.056,58.83,0,66.07,0.2149,1,384.5,1,1,1,41.7
2026-05-04,10:30,LONG,PM_LONG,A+,BOTH,0.645,stop,-0.74,0,0.811,24.72,0,49.78,0.3587,1,205.8,1,1,1,45.3
2026-05-04,11:00,LONG,PM_LONG,A+,BOTH,0.645,stop,-128.74,0,0.847,25.47,0,44.86,0.0566,1,205.0,1,1,1,42.5
2026-05-05,10:30,LONG,PM_LONG,A+,LONG,0.933,no_move,13.76,1,3.333,22.42,0,96.4,0.1687,1,375.0,1,1,1,41.3
2026-05-05,13:00,LONG,PM_LONG,A+,LONG,0.933,eod,85.76,1,7.004,25.92,0,95.37,0.1329,1,378.5,1,1,1,20.2
2026-05-06,10:30,LONG,VWAP_LONG,A+,BOTH,0.537,stop,81.76,1,1.488,15.75,0,70.55,-0.2593,1,425.8,1,1,1,64.3
2026-05-06,11:00,LONG,PM_LONG,A+,BOTH,0.537,stop,-0.74,0,3.526,81.0,0,73.12,-0.1927,1,491.0,1,1,1,45.7
2026-05-08,10:40,LONG,PM_LONG,A+,BOTH,0.772,stop,-0.74,0,5.388,28.75,0,93.22,0.0157,1,468.8,1,1,1,48.2
2026-05-08,11:20,LONG,PM_LONG,A+,BOTH,0.772,stop,114.26,1,7.818,58.5,0,93.43,0.0172,1,498.5,1,1,1,37.0
2026-05-11,10:35,LONG,PM_LONG,A+,BOTH,0.459,stop,126.76,1,0.771,21.91,0,59.49,-0.0986,1,438.8,1,1,1,66.2
