date,trade_idx,side,entry_time,pnl,win,ovn_pos,daily_bias,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2026-01-26,0,LONG,10:30,-0.74,0,0.996,LONG,3.041,0.17,0,70.25,0.218,1,241.0,1,1,1,36.7,26.1,256.9,3,1,148.8,0,0.1
2026-01-26,1,LONG,11:20,-0.74,0,0.996,LONG,4.765,6.19,0,77.58,0.0568,1,273.2,1,1,1,30.2,101.9,289.2,3,1,181.1,0,0.35
2026-01-29,0,LONG,13:00,124.76,1,0.459,BOTH,7.824,85.33,0,28.78,0.286,0,-452.2,0,0,0,41.7,472.0,999.0,0,0,-393.9,0,
2026-01-30,0,LONG,10:35,-0.74,0,0.473,BOTH,0.597,17.5,0,52.23,-0.0688,1,67.2,1,0,0,73.7,227.5,262.5,1,1,17.5,0,0.87
2026-02-02,0,LONG,10:40,92.76,1,0.687,BOTH,6.148,19.0,0,72.54,0.2112,1,9.2,1,1,1,54.0,19.0,307.8,3,1,166.2,0,0.06
2026-02-02,1,LONG,13:20,-0.74,0,0.687,BOTH,20.986,20.47,0,81.8,0.3043,1,51.5,1,1,1,17.8,20.5,350.0,2,1,208.5,1,0.06
2026-02-03,0,SHORT,11:10,106.26,1,0.516,BOTH,5.448,18.27,0,19.43,-0.2031,0,-52.2,0,0,1,70.2,18.3,390.5,2,0,-234.3,1,0.05
2026-02-03,1,SHORT,11:40,-0.74,0,0.516,BOTH,8.31,30.23,0,18.01,-0.2034,0,-100.8,0,0,1,51.8,125.9,439.0,1,0,-282.8,0,0.29
2026-02-05,0,SHORT,10:50,-0.74,0,0.134,SHORT,1.738,102.82,0,19.99,0.0233,0,-710.8,0,0,1,99.8,127.3,705.3,0,0,-475.2,0,0.18
2026-02-05,1,SHORT,11:15,-279.74,0,0.134,SHORT,1.021,24.07,0,30.15,0.0181,0,-632.0,0,0,1,92.8,206.1,626.6,1,0,-396.4,0,0.33
2026-02-06,0,LONG,10:30,-0.74,0,0.821,BOTH,1.815,14.6,0,75.69,0.1228,1,192.0,1,1,1,91.2,35.2,338.7,3,1,176.7,0,0.1
2026-02-06,1,LONG,10:55,177.26,1,0.821,BOTH,1.722,15.15,0,74.71,-0.0031,1,162.2,1,1,1,78.8,15.1,309.0,1,1,146.9,0,0.05
2026-02-10,0,LONG,10:35,-0.74,0,0.682,BOTH,0.258,51.21,0,59.03,-0.0756,1,376.0,1,1,1,59.2,51.2,296.8,0,1,129.7,0,0.17
2026-02-10,1,LONG,10:55,-15.74,0,0.682,BOTH,0.03,67.96,0,56.04,-0.0911,1,359.2,1,1,1,50.3,68.0,280.1,0,1,112.9,0,0.24
2026-02-11,0,LONG,10:50,-228.74,0,0.892,LONG,2.09,22.57,0,45.22,0.0988,0,-40.0,0,0,0,75.8,123.8,22.6,1,0,-54.5,0,5.48
2026-02-11,1,LONG,13:20,91.26,1,0.892,LONG,4.635,8.82,0,45.71,0.0226,0,-53.8,0,0,0,37.2,137.5,8.8,2,0,-68.2,0,15.62
2026-02-12,0,SHORT,10:40,120.76,1,0.659,BOTH,3.918,0.83,0,28.09,0.0477,0,-107.5,0,0,1,66.2,14.3,345.1,3,0,-189.4,0,0.04
2026-02-13,0,LONG,10:40,101.26,1,0.502,BOTH,0.324,21.15,1,48.9,0.0186,0,-508.0,1,0,0,98.0,468.7,48.8,1,0,-247.6,0,9.6
2026-02-13,1,LONG,11:15,-0.74,0,0.502,BOTH,0.94,18.35,0,51.08,-0.0071,0,-468.5,1,0,0,75.8,429.2,18.3,1,0,-208.1,0,23.45
2026-02-18,0,LONG,10:30,96.26,1,0.41,BOTH,3.519,33.09,0,78.3,0.1545,1,338.8,1,1,1,60.7,135.1,473.3,2,1,305.2,0,0.29
2026-02-18,1,LONG,11:05,-0.74,0,0.41,BOTH,7.303,71.08,0,80.32,0.1065,1,402.8,1,1,1,38.0,71.1,537.3,0,1,369.2,0,0.13
