date,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2024-07-29,LONG,-92.24,0,0.173,4.04,0,48.59,0.1058,1,198.0,1,1,1,30.3,26.4,231.8,4,1,133.2,0,0.11
2024-07-31,LONG,-0.74,0,2.138,53.75,0,89.55,-0.499,1,342.0,1,1,1,48.2,53.8,660.4,0,1,463.0,0,0.08
2024-07-31,LONG,-89.74,0,3.898,41.75,0,89.77,-0.4386,1,354.0,1,1,1,29.5,41.8,672.4,0,1,475.0,0,0.06
2024-08-01,SHORT,247.76,1,1.028,8.67,0,35.62,0.1555,1,113.2,0,1,0,59.8,91.8,109.1,1,0,-8.7,0,0.84
2024-08-01,SHORT,85.76,1,5.82,9.33,0,25.93,0.1845,0,-131.8,0,0,1,52.7,9.3,354.1,1,0,-253.7,0,0.03
2024-08-07,LONG,-0.74,0,0.79,9.04,0,72.79,-0.2886,1,383.2,1,1,1,63.0,9.0,451.1,2,1,251.8,0,0.02
2024-08-07,LONG,-180.24,0,1.408,4.08,0,69.55,-0.2113,1,417.5,1,1,1,59.7,4.1,485.4,3,1,286.1,0,0.01
2024-08-08,LONG,-0.74,0,2.246,50.68,0,72.98,0.1361,0,-122.8,1,1,1,67.7,50.7,376.0,0,1,162.7,0,0.13
2024-08-08,LONG,-196.24,0,3.096,1.43,0,74.22,0.0832,0,-73.5,1,1,1,65.0,1.4,425.3,2,1,211.9,0,0.0
2024-08-12,LONG,107.76,1,0.3,11.5,0,53.83,-0.1121,1,194.2,1,1,1,43.3,11.5,195.2,1,1,91.8,0,0.06
2024-08-12,LONG,-92.74,0,0.746,1.75,0,52.2,-0.062,1,204.0,1,1,1,30.5,1.7,204.9,2,1,101.6,0,0.01
2024-08-13,LONG,96.76,1,1.635,4.33,0,69.47,-0.0131,1,327.2,1,1,1,37.0,108.1,338.1,1,1,245.8,0,0.32
2024-08-13,LONG,97.76,1,4.324,33.83,0,77.31,-0.0985,1,401.5,1,1,1,31.2,33.8,412.3,1,1,320.1,0,0.08
2024-08-14,LONG,158.76,1,1.842,36.75,0,40.73,-0.1368,1,198.8,0,1,0,46.0,36.7,170.2,1,1,67.2,0,0.22
2024-08-14,LONG,-0.74,0,1.892,16.0,0,46.28,-0.0015,1,219.5,0,1,0,33.8,16.0,191.0,1,1,88.0,0,0.08
2024-08-15,LONG,-0.74,0,3.968,26.33,0,76.98,0.0584,1,418.8,1,1,1,36.2,999.0,543.7,1,1,437.4,0,
2024-08-15,LONG,-0.74,0,7.709,48.58,0,77.75,0.0226,1,441.0,1,1,1,21.5,999.0,566.0,0,1,459.7,0,
2024-08-19,LONG,86.26,1,0.172,34.17,0,40.47,-0.1773,1,123.5,0,1,0,42.2,42.2,110.6,1,1,34.2,0,0.38
2024-08-19,LONG,85.26,1,1.406,15.73,0,46.58,-0.1576,1,150.0,1,1,1,24.0,15.7,137.1,2,1,60.7,0,0.11
2024-08-20,SHORT,115.26,1,0.105,1.33,1,43.82,-0.0074,1,248.8,0,1,0,33.3,219.3,1.3,4,1,127.2,0,168.69
2024-08-20,SHORT,-0.74,0,0.283,14.49,1,42.12,0.0446,1,234.2,0,1,0,38.8,204.8,15.8,2,1,112.7,0,12.96
2024-08-21,LONG,196.76,1,0.894,33.51,0,61.29,-0.1387,1,80.0,1,1,1,33.0,33.5,105.3,2,1,35.9,0,0.32
2024-08-21,LONG,-126.74,0,1.649,5.99,0,68.78,-0.0917,1,119.5,1,1,1,41.8,15.5,144.8,4,1,75.4,0,0.11
2024-08-23,LONG,-172.74,0,1.692,62.92,0,89.98,-0.1812,1,137.0,1,1,1,57.2,62.9,273.5,0,1,103.9,0,0.23
2024-08-23,LONG,-210.74,0,0.487,41.17,0,79.23,-0.0693,1,74.2,1,1,1,69.8,125.7,210.8,0,1,41.2,0,0.6
2024-08-28,SHORT,162.76,1,3.292,6.88,0,34.24,0.0509,0,-44.8,0,0,1,36.8,6.9,186.2,3,0,-89.7,0,0.04
2024-08-28,SHORT,-120.24,0,6.674,19.58,0,22.34,0.0002,0,-188.2,0,0,1,39.7,19.6,329.7,1,0,-233.2,0,0.06
2024-08-29,LONG,107.26,1,1.831,8.17,0,85.56,-0.2724,1,49.5,1,1,1,65.7,8.2,310.7,3,1,165.9,0,0.03
2024-08-29,LONG,-0.74,0,2.716,0.33,0,91.38,-0.2353,1,72.8,1,1,1,52.8,0.3,333.9,2,1,189.2,0,0.0
2024-08-30,LONG,-124.24,0,0.439,12.25,0,75.55,-0.0421,0,-6.8,1,1,1,41.0,12.2,249.6,2,1,114.0,0,0.05
2024-09-03,SHORT,118.26,1,4.218,11.42,0,19.03,-0.248,0,-250.5,0,0,1,52.3,11.4,345.1,1,0,-246.6,0,0.03
2024-09-03,SHORT,-0.74,0,5.995,42.58,0,20.9,-0.1496,0,-304.5,0,0,1,45.8,81.8,399.1,0,0,-300.6,0,0.2
2024-09-06,SHORT,-0.74,0,8.946,35.33,0,28.66,-0.1899,0,-524.5,0,0,1,50.7,999.0,626.4,1,0,-508.7,0,
2024-09-06,SHORT,-0.74,0,12.767,39.58,0,29.0,-0.2717,0,-528.8,0,0,1,35.8,999.0,630.7,1,0,-512.9,0,
2024-09-09,LONG,108.76,1,0.493,20.5,0,58.97,0.1083,0,-204.0,1,1,1,34.0,224.2,185.2,1,0,-20.5,0,1.21
2024-09-09,LONG,-59.74,0,4.5,84.0,0,64.1,0.1398,0,-99.5,1,1,1,19.5,119.8,289.7,0,1,84.0,0,0.41
2024-09-10,LONG,-142.74,0,0.101,11.49,0,59.33,-0.4447,1,128.2,1,1,1,47.2,77.4,244.2,2,1,155.3,0,0.32
2024-09-10,LONG,85.26,1,0.545,20.74,0,60.84,-0.2636,1,137.5,1,1,1,25.7,68.2,253.5,1,1,164.6,0,0.27
2024-09-11,LONG,-0.74,0,3.088,2.67,0,48.9,0.1531,1,4.2,0,1,0,45.5,95.7,90.3,1,1,2.7,0,1.06
2024-09-11,LONG,-0.74,0,0.923,16.58,0,61.5,0.1062,1,188.0,1,1,1,46.8,71.1,274.1,2,1,186.4,0,0.26
2024-09-16,SHORT,-145.24,0,2.557,1.92,0,17.41,-0.0333,0,-151.5,0,0,1,48.0,80.2,252.1,1,0,-182.9,0,0.32
2024-09-16,SHORT,40.26,1,0.778,0.42,0,32.37,-0.0462,0,-59.5,0,0,1,39.5,20.9,160.1,4,0,-90.9,1,0.13
