strategy,family,direction,symbol,regime,sharpe,wr,active_days
Donchian/Turtle,Momentum,LONG,BEAM,STRONG,1.072,70.4,27
Donchian/Turtle,Momentum,LONG,BEAM,WEAK,-2.319,10.5,19
Donchian/Turtle,Momentum,LONG,BEAM,CHOPPY,0.691,61.3,31
Donchian/Turtle,Momentum,SHORT,BEAM,ALL,-0.98,46.0,126
Donchian/Turtle,Momentum,SHORT,BEAM,STRONG,-2.304,26.5,34
Donchian/Turtle,Momentum,SHORT,BEAM,NORMAL,0.382,47.1,17
Donchian/Turtle,Momentum,SHORT,BEAM,WEAK,0.21,57.6,33
Donchian/Turtle,Momentum,SHORT,BEAM,CHOPPY,0.279,53.3,30
ADX Trend,Momentum,LONG,BEAM,ALL,-0.801,47.6,168
ADX Trend,Momentum,LONG,BEAM,STRONG,1.306,71.4,42
ADX Trend,Momentum,LONG,BEAM,NORMAL,0.15,48.3,29
ADX Trend,Momentum,LONG,BEAM,CAUTIOUS,-0.375,48.1,27
ADX Trend,Momentum,LONG,BEAM,WEAK,-2.195,21.2,33
ADX Trend,Momentum,LONG,BEAM,CHOPPY,-0.492,43.2,37
ADX Trend,Momentum,SHORT,BEAM,ALL,0.116,53.5,170
ADX Trend,Momentum,SHORT,BEAM,STRONG,-1.918,36.8,38
ADX Trend,Momentum,SHORT,BEAM,NORMAL,-0.174,41.4,29
ADX Trend,Momentum,SHORT,BEAM,CAUTIOUS,1.075,72.0,25
ADX Trend,Momentum,SHORT,BEAM,WEAK,1.773,70.0,40
ADX Trend,Momentum,SHORT,BEAM,CHOPPY,-0.645,50.0,38
RSI Revert,Reversion,LONG,CACI,ALL,0.146,47.7,130
RSI Revert,Reversion,LONG,CACI,STRONG,0.572,54.8,42
RSI Revert,Reversion,LONG,CACI,NORMAL,-0.208,33.3,21
RSI Revert,Reversion,LONG,CACI,CAUTIOUS,0.055,52.6,19
RSI Revert,Reversion,LONG,CACI,WEAK,-0.29,44.4,18
RSI Revert,Reversion,LONG,CACI,CHOPPY,0.033,46.7,30
RSI Revert,Reversion,SHORT,CACI,ALL,-0.451,46.3,190
RSI Revert,Reversion,SHORT,CACI,STRONG,-0.942,37.8,45
RSI Revert,Reversion,SHORT,CACI,NORMAL,-1.145,34.9,43
RSI Revert,Reversion,SHORT,CACI,CAUTIOUS,0.124,61.1,18
RSI Revert,Reversion,SHORT,CACI,WEAK,1.04,61.7,47
RSI Revert,Reversion,SHORT,CACI,CHOPPY,-0.105,43.2,37
Zscore Revert,Reversion,LONG,CACI,ALL,0.757,50.5,95
Zscore Revert,Reversion,LONG,CACI,STRONG,1.269,65.5,29
Zscore Revert,Reversion,LONG,CACI,NORMAL,0.669,41.2,17
Zscore Revert,Reversion,LONG,CACI,CAUTIOUS,-0.961,26.7,15
Zscore Revert,Reversion,LONG,CACI,WEAK,-0.399,50.0,16
Zscore Revert,Reversion,LONG,CACI,CHOPPY,0.833,55.6,18
Zscore Revert,Reversion,SHORT,CACI,ALL,0.06,48.0,127
Zscore Revert,Reversion,SHORT,CACI,STRONG,0.024,51.7,29
Zscore Revert,Reversion,SHORT,CACI,NORMAL,-0.062,43.8,16
Zscore Revert,Reversion,SHORT,CACI,WEAK,0.24,48.0,25
Zscore Revert,Reversion,SHORT,CACI,CHOPPY,0.121,40.9,44
Keltner Revert,Reversion,LONG,CACI,ALL,-0.406,43.4,76
Keltner Revert,Reversion,LONG,CACI,STRONG,0.58,55.6,27
Keltner Revert,Reversion,LONG,CACI,CHOPPY,-0.203,41.2,17
Keltner Revert,Reversion,SHORT,CACI,ALL,0.09,45.3,117
Keltner Revert,Reversion,SHORT,CACI,STRONG,-0.448,41.2,34
Keltner Revert,Reversion,SHORT,CACI,NORMAL,-0.786,26.1,23
Keltner Revert,Reversion,SHORT,CACI,WEAK,0.849,65.0,20
Keltner Revert,Reversion,SHORT,CACI,CHOPPY,-0.014,43.8,32
MFI Revert,Reversion,LONG,CACI,ALL,0.488,39.4,33
MFI Revert,Reversion,SHORT,CACI,ALL,0.037,50.9,53
MFI Revert,Reversion,SHORT,CACI,STRONG,-0.226,37.5,16
RSI Momentum,Momentum,LONG,CACI,ALL,0.451,53.7,190
RSI Momentum,Momentum,LONG,CACI,STRONG,0.942,62.2,45
RSI Momentum,Momentum,LONG,CACI,NORMAL,1.145,65.1,43
RSI Momentum,Momentum,LONG,CACI,CAUTIOUS,-0.124,38.9,18
RSI Momentum,Momentum,LONG,CACI,WEAK,-1.04,38.3,47
