strategy,family,direction,symbol,regime,sharpe,wr,active_days
ADX Trend,Momentum,SHORT,CACI,NORMAL,-0.573,48.0,50
ADX Trend,Momentum,SHORT,CACI,CAUTIOUS,0.642,63.2,38
ADX Trend,Momentum,SHORT,CACI,WEAK,0.571,55.2,58
ADX Trend,Momentum,SHORT,CACI,CHOPPY,0.697,54.5,55
RSI Revert,Reversion,LONG,CIFR,ALL,0.789,51.1,94
RSI Revert,Reversion,LONG,CIFR,STRONG,2.149,87.5,24
RSI Revert,Reversion,LONG,CIFR,NORMAL,0.191,47.4,19
RSI Revert,Reversion,LONG,CIFR,WEAK,-1.682,20.0,20
RSI Revert,Reversion,LONG,CIFR,CHOPPY,0.552,47.6,21
RSI Revert,Reversion,SHORT,CIFR,ALL,0.495,55.4,121
RSI Revert,Reversion,SHORT,CIFR,STRONG,-1.057,38.5,26
RSI Revert,Reversion,SHORT,CIFR,NORMAL,-0.362,42.9,21
RSI Revert,Reversion,SHORT,CIFR,WEAK,1.758,78.3,23
RSI Revert,Reversion,SHORT,CIFR,CHOPPY,-0.2,52.6,38
Zscore Revert,Reversion,LONG,CIFR,ALL,0.246,45.8,24
Zscore Revert,Reversion,SHORT,CIFR,ALL,0.126,55.6,90
Zscore Revert,Reversion,SHORT,CIFR,STRONG,-0.938,38.9,18
Zscore Revert,Reversion,SHORT,CIFR,NORMAL,-0.679,43.5,23
Zscore Revert,Reversion,SHORT,CIFR,WEAK,1.661,82.4,17
Zscore Revert,Reversion,SHORT,CIFR,CHOPPY,-0.231,50.0,18
Keltner Revert,Reversion,LONG,CIFR,ALL,0.097,40.6,32
Keltner Revert,Reversion,SHORT,CIFR,ALL,-0.18,52.5,101
Keltner Revert,Reversion,SHORT,CIFR,STRONG,-1.41,30.4,23
Keltner Revert,Reversion,SHORT,CIFR,NORMAL,-0.633,50.0,20
Keltner Revert,Reversion,SHORT,CIFR,WEAK,1.423,75.0,20
Keltner Revert,Reversion,SHORT,CIFR,CHOPPY,0.043,50.0,26
MFI Revert,Reversion,SHORT,CIFR,ALL,-0.258,54.7,53
MFI Revert,Reversion,SHORT,CIFR,CHOPPY,-0.688,44.4,18
RSI Momentum,Momentum,LONG,CIFR,ALL,-0.495,44.6,121
RSI Momentum,Momentum,LONG,CIFR,STRONG,1.057,61.5,26
RSI Momentum,Momentum,LONG,CIFR,NORMAL,0.362,57.1,21
RSI Momentum,Momentum,LONG,CIFR,WEAK,-1.758,21.7,23
