strategy,family,direction,symbol,regime,sharpe,wr,active_days
RSI Momentum,Momentum,SHORT,ARRY,STRONG,-1.82,32.0,50
RSI Momentum,Momentum,SHORT,ARRY,NORMAL,-0.061,43.8,32
RSI Momentum,Momentum,SHORT,ARRY,CAUTIOUS,-0.213,52.4,21
RSI Momentum,Momentum,SHORT,ARRY,WEAK,1.21,66.0,50
RSI Momentum,Momentum,SHORT,ARRY,CHOPPY,-0.213,48.6,37
Donchian/Turtle,Momentum,LONG,ARRY,ALL,-0.492,43.4,113
Donchian/Turtle,Momentum,LONG,ARRY,STRONG,0.425,55.6,27
Donchian/Turtle,Momentum,LONG,ARRY,NORMAL,0.389,53.8,26
Donchian/Turtle,Momentum,LONG,ARRY,CAUTIOUS,-0.673,41.2,17
Donchian/Turtle,Momentum,LONG,ARRY,WEAK,-1.648,19.2,26
Donchian/Turtle,Momentum,LONG,ARRY,CHOPPY,-0.296,47.1,17
Donchian/Turtle,Momentum,SHORT,ARRY,ALL,-0.746,49.8,231
Donchian/Turtle,Momentum,SHORT,ARRY,STRONG,-2.431,27.1,70
Donchian/Turtle,Momentum,SHORT,ARRY,NORMAL,-0.711,42.5,40
Donchian/Turtle,Momentum,SHORT,ARRY,CAUTIOUS,-0.037,66.7,21
Donchian/Turtle,Momentum,SHORT,ARRY,WEAK,1.518,70.2,57
Donchian/Turtle,Momentum,SHORT,ARRY,CHOPPY,-0.011,58.1,43
ADX Trend,Momentum,LONG,ARRY,ALL,0.319,49.0,261
ADX Trend,Momentum,LONG,ARRY,STRONG,1.577,68.3,63
ADX Trend,Momentum,LONG,ARRY,NORMAL,-0.171,46.9,49
ADX Trend,Momentum,LONG,ARRY,CAUTIOUS,0.218,48.8,43
ADX Trend,Momentum,LONG,ARRY,WEAK,-2.104,28.3,60
ADX Trend,Momentum,LONG,ARRY,CHOPPY,0.502,52.2,46
ADX Trend,Momentum,SHORT,ARRY,ALL,0.215,55.0,311
ADX Trend,Momentum,SHORT,ARRY,STRONG,-1.805,39.8,93
ADX Trend,Momentum,SHORT,ARRY,NORMAL,-0.113,55.9,59
ADX Trend,Momentum,SHORT,ARRY,CAUTIOUS,0.821,67.7,31
ADX Trend,Momentum,SHORT,ARRY,WEAK,1.986,74.1,58
ADX Trend,Momentum,SHORT,ARRY,CHOPPY,0.116,52.9,70
RSI Revert,Reversion,LONG,BEAM,ALL,0.514,50.8,193
RSI Revert,Reversion,LONG,BEAM,STRONG,2.343,75.0,60
RSI Revert,Reversion,LONG,BEAM,NORMAL,0.162,56.0,25
RSI Revert,Reversion,LONG,BEAM,CAUTIOUS,-0.332,34.6,26
RSI Revert,Reversion,LONG,BEAM,WEAK,-1.348,27.1,48
RSI Revert,Reversion,LONG,BEAM,CHOPPY,-0.573,50.0,34
RSI Revert,Reversion,SHORT,BEAM,ALL,0.037,51.2,166
RSI Revert,Reversion,SHORT,BEAM,STRONG,-1.217,30.8,39
RSI Revert,Reversion,SHORT,BEAM,NORMAL,-0.091,45.8,24
RSI Revert,Reversion,SHORT,BEAM,CAUTIOUS,0.722,65.0,20
RSI Revert,Reversion,SHORT,BEAM,WEAK,1.559,75.0,32
RSI Revert,Reversion,SHORT,BEAM,CHOPPY,-0.386,49.0,51
Zscore Revert,Reversion,LONG,BEAM,ALL,0.603,58.1,74
Zscore Revert,Reversion,LONG,BEAM,STRONG,1.418,76.9,26
Zscore Revert,Reversion,LONG,BEAM,WEAK,-0.922,25.0,20
Zscore Revert,Reversion,SHORT,BEAM,ALL,-0.012,53.4,178
Zscore Revert,Reversion,SHORT,BEAM,STRONG,-1.541,29.5,44
Zscore Revert,Reversion,SHORT,BEAM,NORMAL,0.15,52.0,25
Zscore Revert,Reversion,SHORT,BEAM,CAUTIOUS,0.821,57.1,21
Zscore Revert,Reversion,SHORT,BEAM,WEAK,1.983,82.4,34
Zscore Revert,Reversion,SHORT,BEAM,CHOPPY,-0.344,53.7,54
Keltner Revert,Reversion,LONG,BEAM,ALL,0.428,52.9,87
Keltner Revert,Reversion,LONG,BEAM,STRONG,1.331,66.7,30
Keltner Revert,Reversion,LONG,BEAM,WEAK,-1.095,20.8,24
Keltner Revert,Reversion,SHORT,BEAM,ALL,-0.101,53.0,149
Keltner Revert,Reversion,SHORT,BEAM,STRONG,-1.717,22.9,35
Keltner Revert,Reversion,SHORT,BEAM,NORMAL,-0.311,44.4,18
Keltner Revert,Reversion,SHORT,BEAM,CAUTIOUS,0.886,58.8,17
Keltner Revert,Reversion,SHORT,BEAM,WEAK,2.049,84.4,32
Keltner Revert,Reversion,SHORT,BEAM,CHOPPY,-0.19,55.3,47
MFI Revert,Reversion,LONG,BEAM,ALL,0.122,52.7,93
MFI Revert,Reversion,LONG,BEAM,STRONG,1.276,74.1,27
MFI Revert,Reversion,LONG,BEAM,CAUTIOUS,-0.285,37.5,16
MFI Revert,Reversion,LONG,BEAM,WEAK,-0.911,22.7,22
MFI Revert,Reversion,LONG,BEAM,CHOPPY,0.01,60.0,15
MFI Revert,Reversion,SHORT,BEAM,ALL,0.644,59.1,22
RSI Momentum,Momentum,LONG,BEAM,ALL,-0.037,48.8,166
RSI Momentum,Momentum,LONG,BEAM,STRONG,1.217,69.2,39
RSI Momentum,Momentum,LONG,BEAM,NORMAL,0.091,54.2,24
RSI Momentum,Momentum,LONG,BEAM,CAUTIOUS,-0.722,35.0,20
RSI Momentum,Momentum,LONG,BEAM,WEAK,-1.559,25.0,32
RSI Momentum,Momentum,LONG,BEAM,CHOPPY,0.386,51.0,51
RSI Momentum,Momentum,SHORT,BEAM,ALL,-0.514,49.2,193
RSI Momentum,Momentum,SHORT,BEAM,STRONG,-2.343,25.0,60
RSI Momentum,Momentum,SHORT,BEAM,NORMAL,-0.162,44.0,25
RSI Momentum,Momentum,SHORT,BEAM,CAUTIOUS,0.332,65.4,26
RSI Momentum,Momentum,SHORT,BEAM,WEAK,1.348,72.9,48
RSI Momentum,Momentum,SHORT,BEAM,CHOPPY,0.573,50.0,34
Donchian/Turtle,Momentum,LONG,BEAM,ALL,-0.192,47.0,164
Donchian/Turtle,Momentum,LONG,BEAM,STRONG,1.434,71.4,42
Donchian/Turtle,Momentum,LONG,BEAM,NORMAL,-0.195,47.6,21
Donchian/Turtle,Momentum,LONG,BEAM,CAUTIOUS,-0.826,38.9,18
Donchian/Turtle,Momentum,LONG,BEAM,WEAK,-2.024,17.6,34
Donchian/Turtle,Momentum,LONG,BEAM,CHOPPY,0.328,49.0,49
Donchian/Turtle,Momentum,SHORT,BEAM,ALL,-0.577,48.3,176
Donchian/Turtle,Momentum,SHORT,BEAM,STRONG,-2.025,28.3,53
Donchian/Turtle,Momentum,SHORT,BEAM,NORMAL,0.114,40.9,22
Donchian/Turtle,Momentum,SHORT,BEAM,CAUTIOUS,-0.036,57.9,19
Donchian/Turtle,Momentum,SHORT,BEAM,WEAK,0.986,66.7,45
Donchian/Turtle,Momentum,SHORT,BEAM,CHOPPY,0.4,54.1,37
ADX Trend,Momentum,LONG,BEAM,ALL,-0.294,46.5,254
ADX Trend,Momentum,LONG,BEAM,STRONG,2.073,73.9,69
ADX Trend,Momentum,LONG,BEAM,NORMAL,-0.149,47.8,46
ADX Trend,Momentum,LONG,BEAM,CAUTIOUS,-0.595,44.7,38
ADX Trend,Momentum,LONG,BEAM,WEAK,-2.238,18.4,49
ADX Trend,Momentum,LONG,BEAM,CHOPPY,-0.383,36.5,52
ADX Trend,Momentum,SHORT,BEAM,ALL,0.325,53.3,274
ADX Trend,Momentum,SHORT,BEAM,STRONG,-1.998,31.8,66
ADX Trend,Momentum,SHORT,BEAM,NORMAL,-0.31,43.5,46
ADX Trend,Momentum,SHORT,BEAM,CAUTIOUS,1.005,70.0,40
ADX Trend,Momentum,SHORT,BEAM,WEAK,2.055,73.0,63
ADX Trend,Momentum,SHORT,BEAM,CHOPPY,-0.117,52.5,59
RSI Revert,Reversion,LONG,CACI,ALL,0.112,50.0,164
