date,ib_range_pts,day_ret_pct,day_range_pct,vol_vol,continuation,post_move_pts,live_regime,hmm_state,hmm_regime
2025-05-14,132.0,0.3307568702424378,0.6896632613565723,0.6122254776200313,1,42.75,CHOPPY,0,HMM_QUIET
2025-05-15,98.75,0.5926464893030243,1.32142563753506,0.4118435876197562,-1,141.25,QUIET,0,HMM_QUIET
2025-05-16,81.5,0.16653080237568416,0.8990334226155817,0.5874327126025378,-1,90.25,QUIET,0,HMM_QUIET
2025-05-19,261.25,1.3760332040231578,1.622469313398342,0.5665347154845901,1,89.25,TRENDING,0,HMM_QUIET
2025-05-20,85.75,0.0572102418008383,0.8207918364487619,0.5365066596920527,-1,30.5,QUIET,0,HMM_QUIET
2025-05-21,163.5,-0.693171671601109,2.28746651628366,0.5307665498521097,-1,252.0,CHOPPY,0,HMM_QUIET
2025-05-22,216.5,0.13461810967833357,1.0580511076472534,0.5781742236647361,-1,34.0,TRENDING,0,HMM_QUIET
2025-05-23,172.25,0.44845200124703233,1.257823928631382,0.5664454901753485,-1,0.75,CHOPPY,0,HMM_QUIET
2025-05-26,49.5,0.11053101923710079,0.43389304360095954,0.5296709100232301,1,16.25,QUIET,0,HMM_QUIET
2025-05-27,190.25,0.8843105435217198,1.387614948611209,0.5893833050208032,1,78.0,CHOPPY,0,HMM_QUIET
2025-05-28,126.5,-0.6545065625036329,1.0834815564003302,0.6403209537782345,1,92.0,CHOPPY,0,HMM_QUIET
2025-05-29,299.0,-1.2987761975616228,1.7451584253203687,0.5375137754444707,1,63.25,TRENDING,0,HMM_QUIET
2025-05-30,160.0,-0.16836000982100058,1.691784265354082,0.45539169176655864,-1,37.75,CHOPPY,0,HMM_QUIET
2025-06-02,223.5,1.2096016535137166,1.5031942878617062,0.7121354171147642,1,166.5,TRENDING,0,HMM_QUIET
2025-06-03,128.75,0.637001798456808,1.1591344201427163,0.6374573095034456,1,62.25,CHOPPY,0,HMM_QUIET
2025-06-04,152.5,0.1438368774739943,0.7444996778053945,0.6547939390305516,1,13.5,CHOPPY,0,HMM_QUIET
2025-06-05,148.25,-0.9272312576648443,1.9839768937179796,0.5548496838581816,1,191.75,CHOPPY,0,HMM_QUIET
2025-06-06,95.5,-0.04702374125473105,0.7271476086707191,0.5865990053134675,-1,2.75,QUIET,0,HMM_QUIET
2025-06-09,116.5,0.051610239471511145,0.6525828057619966,0.6038681874158753,-1,43.25,CHOPPY,0,HMM_QUIET
2025-06-10,75.25,0.5048886039429396,1.1414375014310902,0.6658232068547989,1,73.75,QUIET,0,HMM_QUIET
2025-06-11,128.25,-0.5893173456874233,1.2558477540082662,0.5180863188588185,-1,151.25,CHOPPY,0,HMM_QUIET
2025-06-12,115.0,0.4729892231753267,0.7398330222064432,0.5879320963626015,1,12.0,CHOPPY,0,HMM_QUIET
2025-06-13,178.75,-0.11185424354243542,1.1738929889298895,0.48785746683574266,-1,28.5,CHOPPY,0,HMM_QUIET
2025-06-16,184.0,0.7410466423474888,0.9372060476747653,0.7844907005351068,-1,18.25,CHOPPY,0,HMM_QUIET
2025-06-17,105.25,-0.48650381190045555,1.0256645069713135,0.532977730800164,-1,143.5,CHOPPY,0,HMM_QUIET
2025-06-18,154.25,-0.15043638033991732,0.9772622875516767,0.6110912348690002,-1,111.25,CHOPPY,0,HMM_QUIET
2025-06-19,136.25,-0.2608030415430267,0.6317229228486647,0.6338063186257189,-1,10.75,CHOPPY,0,HMM_QUIET
2025-06-23,253.25,0.8550819072441899,1.620997519347943,0.6333256356492485,1,71.5,TRENDING,0,HMM_QUIET
2025-06-24,73.25,0.5104101229471417,0.8424571479852823,0.6375789077958801,1,91.75,QUIET,0,HMM_QUIET
2025-06-25,85.5,-0.10667022234074469,0.7111348156049646,0.5683686910774689,1,13.25,QUIET,0,HMM_QUIET
2025-06-26,100.25,0.4256687100242764,0.9599716220859984,0.6883009475340119,1,79.75,CHOPPY,0,HMM_QUIET
2025-06-27,141.75,0.13652027436171266,0.9853681093042971,0.5328402552186952,-1,45.0,CHOPPY,0,HMM_QUIET
2025-06-30,80.5,0.018581468810458086,0.6733049874848342,0.5579099458975623,-1,34.5,QUIET,0,HMM_QUIET
2025-07-01,96.5,-0.5317282813664869,1.101828706749112,0.5491969131854239,1,85.25,QUIET,0,HMM_QUIET
2025-07-02,147.25,0.7956564441550702,0.9181500160014126,0.6435975902537404,1,43.75,CHOPPY,0,HMM_QUIET
2025-07-03,140.75,0.5538112680969823,0.7478632478632479,0.601822886577786,-1,1.0,CHOPPY,0,HMM_QUIET
2025-07-04,46.0,-0.05672520999236391,0.25526344496563763,0.6393062110866711,-1,27.75,QUIET,0,HMM_QUIET
2025-07-07,77.75,-0.3683000446754492,0.8619092761487583,0.641101711262364,1,78.75,QUIET,0,HMM_QUIET
2025-07-08,94.75,-0.15369522563767168,0.5308480488336603,0.5821274019811956,-1,24.75,QUIET,0,HMM_QUIET
2025-07-09,133.5,0.2719933851208739,0.845355440955676,0.7149276548469834,-1,7.75,CHOPPY,0,HMM_QUIET
2025-07-10,188.75,-0.2719717409442079,0.8180823283381551,0.7331655515171063,-1,71.5,CHOPPY,0,HMM_QUIET
